filename,status,result,created,updated,comments,score,comments2,score2,fungi,reason,bytes,words,tokens,study,studyReason,md5,match_hash
COD+removal+from+real+dyeing+wastewater+by+electro-Fenton+technology+using+an+activated+carbon+fiber+cathode_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:50:06.331782,"The paper focuses primarily on the Electro-Fenton process for the degradation of textile dyes, specifically Red Bemacid, and does not discuss mycoremediation or the role of fungi in the remediation process.",1.0,"The paper focuses on the Electro-Fenton process for the degradation of a textile dye, Red Bemacid. It does not involve any experimental studies related to mycoremediation or the use of fungal species in bioremediation. Instead, it discusses electrochemical methods and their optimization for dye removal, which is outside the domain of mycoremediation.",1.0,No,The paper focuses on the Electro-Fenton process for dye degradation and does not mention the use of fungi for dye remediation.,39216.0,6030.0,11777.0,Experimental,"The paper includes new experiments investigating the Electro-Fenton process for degradation of Red Bemacid dye in textile wastewater, optimizing various operational parameters and reporting new results on dye removal efficiency.",c110838e60ba2c93fa92b57e0f67f72d,0.0
Effect+of+variability+on+the+treatment+of+textile+dyeing+wastewater+by+activated+sludge_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:54:02.546381,"The paper primarily focuses on the biological treatment of textile dye wastewater using microorganisms, which is a key aspect of mycoremediation. It discusses various microbial species used for the decolorization of dyes, the mechanisms involved, and the advantages of biological methods over chemical and physical methods, strongly linking it to the principles of mycoremediation.",9.0,"The paper is a review article discussing the use of microorganisms for the decolorization of textile dyes, but it does not focus on direct experiments involving specific fungal species or the enzymes related to mycoremediation. It primarily summarizes various studies and methods without presenting original experimental data on mycoremediation.",4.0,No,The paper discusses the use of various microorganisms for dye remediation but does not specifically mention fungi or their use in the dye remediation process.,28602.0,4278.0,8569.0,Summary,"The paper is a review article that summarizes the results of various studies on the reduction of color intensity from textile dye wastewater using microorganisms, rather than presenting new experiments on fungi-based remediation.",7486ea9e08e19122c9be010bf88f5da3,3.0
Biodegradation+of+Congo+Red+by+a+strain+of+Bacillus+sp+obtained+from+tannery+industry+effluent_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:52:45.875982,"The paper primarily focuses on the bioremediation of a specific textile dye using bacterial isolates, which is a related topic to mycoremediation. However, it does not address mycoremediation directly or involve fungi, which limits its relevance to the specific domain of mycoremediation.",5.0,"The paper focuses on the bioremediation of a textile azo dye using bacterial isolates, rather than fungal species. It discusses the decolorization and degradation of the dye by bacteria, and there are no experiments or investigations involving fungi or their enzymes.",1.0,No,"The paper focuses on the bioremediation of dye using bacterial isolates, with no mention or use of fungi for dye remediation.",16127.0,2335.0,4346.0,Experimental,"The paper presents new experiments conducted on the decolorization and degradation of the textile dye Orange F2R using bacterial isolates, detailing the methods, conditions, and results of these experiments.",6831347e35a5ee2c92ef6f2d4ccb965d,0.0
Microscale+Thermophoresis%3A+Warming+up+to+a+New+Biomolecular+Interaction+Technique_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:50:13.747820,"The paper primarily focuses on microscale thermophoresis and its application to membrane proteins, without any reference or relevance to mycoremediation. It does not discuss fungal remediation or any related concepts.",1.0,"The paper discusses microscale thermophoresis for analyzing membrane proteins, focusing on biomolecular interactions and does not address mycoremediation or the experimental study of fungal species for bioremediation.",1.0,Yes,"The paper mentions the use of a fungal defensin, micasin from Microsporum canis, for binding to the SARS-CoV-2 spike protein RBD, indicating the involvement of fungi in the study.",96153.0,15140.0,30417.0,Experimental,"The paper contains new experiments on the binding interactions of various proteins, including fungal proteins, using microscale thermophoresis (MST). It specifically discusses experimental data regarding the binding of fungal defensin micasin to the SARS-CoV-2 spike protein and other interactions, indicating new findings rather than just summarizing existing literature.",71b1e8a41f8a99ca9cf4ca39b6387bc4,0.0
Reversible+parkinsonism+with+normal+b-CIT-SPECT+in+patients+exposed+to+sodium+valproate_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:54:48.805227,"The paper is focused on valproate-associated parkinsonism and does not discuss mycoremediation or any related topics. The content is primarily medical and pharmacological, with no relevance to mycoremediation.",1.0,"The paper discusses valproate-associated parkinsonism, focusing on its clinical presentation, prevalence, risk factors, and underlying mechanisms. It does not involve any experimental study of mycoremediation or fungal species for bioremediation, nor does it examine the role of enzymes related to fungal degradation. Therefore, it is not relevant to the topic of mycoremediation.",1.0,No,The paper discusses valproate-associated parkinsonism and its mechanisms but does not mention the use of fungi for dye remediation.,41839.0,6383.0,10716.0,Summary,"The paper provides a critical review of existing literature on valproate-associated parkinsonism, summarizing the findings, prevalence rates, clinical presentations, and possible mechanisms from various studies rather than presenting new experiments or original research.",2ce76385275ec74c21413e35bb72fd0b,0.0
Short-+and+long-term+effects+of+ammonium+and+nitrite+on+the+Anammox+process_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:58:13.177412,"The paper discusses various biological processes for nitrogen removal, specifically focusing on nitritation and anammox, which are relevant to mycoremediation in terms of microbial interactions and nutrient cycling. However, it does not primarily focus on mycoremediation itself, which typically involves fungi, rather than the bacteria discussed in this thesis.",5.0,"The paper primarily focuses on the anaerobic ammonia oxidation (ANAMMOX) processes and their application in wastewater treatment, specifically targeting ammonium-rich lagoon supernatant. It does not involve experimental studies on mycoremediation or the use of fungal species for bioremediation.",1.0,No,The paper focuses on anaerobic ammonia oxidation (ANAMMOX) processes for treating ammonium-rich lagoon supernatant and does not mention the use of fungi for dye remediation.,422434.0,62648.0,119652.0,Experimental,"The paper describes new experiments conducted on the nitritation-anammox processes for treating ammonium-rich lagoon supernatant, comparing different reactor configurations and operational strategies, and investigating microbial population diversity and activity. It includes specific methodologies and results from experiments carried out in a laboratory setting.",086a5dda8cc30558ce9185d47d8f19bf,0.0
Diagnosis+and+treatment+of+nonconvulsive+status+epilepticus_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:53:58.774253,"The paper is focused entirely on non-convulsive status epilepticus and related neurological conditions, which are unrelated to mycoremediation, a field concerning the use of fungi to remediate contaminated environments.",1.0,"The paper discusses non-convulsive status epilepticus, which is a neurological condition related to seizures and their treatment, but it does not mention mycoremediation, fungal species, or any bioremediation processes involving fungi.",1.0,No,"The paper discusses non-convulsive status epilepticus and its diagnosis and treatment, but does not mention the use of fungi for dye remediation or any related topic.",17147.0,2510.0,4043.0,No,"The paper discusses various aspects of non-convulsive status epilepticus, including diagnosis, treatment options, and neuronal damage, but does not present new experiments on fungi-based remediation. Instead, it summarizes existing knowledge and findings from other studies.",e7d42a6a2396b0a38040978396eaba07,0.0
High-Entropy+Alloys+in+Hexagonal+Close-Packed+Structure_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:52:05.137008,"The paper is focused on high-entropy alloys (HEAs) and their properties, applications, and theoretical frameworks, which are not related to mycoremediation or fungal remediation processes.",1.0,"The paper focuses on high-entropy alloys and their properties, manufacturing processes, and phase formations, but it does not discuss or involve mycoremediation or the experimental study of fungal species for bioremediation.",1.0,No,"The paper does not mention the use of fungi for dye remediation; it focuses on high-entropy alloys and their properties, applications, and formation rules.",1190283.0,177861.0,348453.0,No,"The paper summarizes existing knowledge and research on high-entropy alloys, discussing definitions, phase formation rules, and properties without presenting new experimental data or findings.",cbde5831dff5fe57e2db2ef6f7416ccc,1.0
Experimental+Study+on+the+Theory+of+Static+Water+and+Atmospheric+Reoxygenation_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:58:59.937970,"The paper discusses oxygen mass transfer and aeration techniques which can relate to water remediation efforts, but it does not specifically focus on mycoremediation or fungal processes associated with it. The emphasis is more on aeration systems rather than fungal bioremediation methods.",5.0,The paper primarily focuses on the study of oxygen mass transfer in a microporous aeration system and does not involve any experiments or discussions related to mycoremediation or the use of fungal species for bioremediation.,1.0,No,The paper does not mention the use of fungi for dye remediation; it primarily discusses aeration methods and their effects on oxygen mass transfer in water treatment.,47958.0,7482.0,11564.0,Experimental,"The paper contains new experiments on the influence of aeration rates on oxygen mass transfer and bubble movement characteristics in a microporous aeration system, providing original research findings rather than summarizing existing literature.",30c83139f0003bcbb3d676afbf8006a0,9.0
NMR+Spectra+of+Aliphatic+Ethers_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:56:26.174651,The paper discusses the interpretation of mass spectra and NMR data for aliphatic ethers using a computer program but does not mention or relate to mycoremediation in any capacity.,1.0,"The paper discusses a computer program for interpreting mass spectra and nuclear magnetic resonance data, focusing on aliphatic ethers, but does not involve any experimental study related to mycoremediation or the role of fungi in bioremediation.",1.0,No,The paper discusses a computer program for interpreting the mass spectra of aliphatic ethers and does not mention the use of fungi for dye remediation.,21097.0,2266.0,6594.0,No,The paper does not present new experiments on fungi based remediation but instead describes a computer program for interpreting mass spectra and discusses its applications in organic chemistry.,530ccacf393ca7ded2e802d1340232b9,1.0
Effect+of+salt+concentration+on+biological+treatment+of+saline+wastewater+by+fed-batch+operation_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:52:16.962709,"The paper focuses on the effects of salinity variations on activated sludge systems treating domestic wastewater, which is not related to mycoremediation. Mycoremediation specifically involves the use of fungi to remediate contaminated environments, whereas this paper deals with a different aspect of wastewater treatment.",1.0,"The paper focuses on the effects of salinity variations on the performance of activated sludge systems in wastewater treatment, which is unrelated to mycoremediation or fungal species involved in bioremediation processes.",1.0,No,"The paper discusses the effects of salinity on the performance of activated sludge systems in wastewater treatment, but it does not mention the use of fungi for dye remediation.",16209.0,2573.0,4253.0,Experimental,"The paper presents new experiments conducted to investigate the effects of salinity variations on the performance of activated sludge systems treating domestic wastewater, including specific methodologies and results derived from the experiments.",4ab24ff343b94f6359635f621b50d608,0.0
Application+of+polyhydroxyalkanoates+for+denitrification+in+water+and+wastewater+treatment_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:54:39.037106,"The paper primarily discusses denitrification performance in wastewater treatment using PHBV as a support material, which is tangentially related to mycoremediation but does not focus on fungal involvement or mycoremediation techniques. Thus, it is not primarily about mycoremediation.",3.0,The paper primarily discusses the performance of a denitrification reactor using PHBV as a carbon source and does not focus on mycoremediation or the role of fungi in bioremediation processes. There are no experiments or discussions related to fungal species or their enzymatic activities in degrading pollutants.,1.0,No,"The paper discusses the use of poly(3-hydroxybutyrate-co-3-hydroxyvalerate) (PHBV) in a denitrification reactor, but it does not mention the use of fungi for dye remediation or any related processes.",33739.0,4783.0,8802.0,Experimental,"The paper presents new experiments conducted on a poly(3-hydroxybutyrate-co-3-hydroxyvalerate) (PHBV)-supported denitrification reactor, evaluating its performance in treating wastewater with high nitrate concentrations and analyzing the microbial community structure and its correlation with denitrification efficiency.",37639069627d340385828bfc8ec9ea54,0.0
Decolorization+of+azo+dyes+%28Direct+Blue+151+and+Direct+Red+31%29+by+moderately+alkaliphilic+bacterial+consortium_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:52:43.632487,"The paper primarily focuses on the decolorization of dyes using a bacterial strain (Bacillus sp.) rather than fungi, which is the key aspect of mycoremediation. While it discusses bioremediation, it does not directly address mycoremediation, which specifically involves the use of fungi in the remediation process.",5.0,The paper focuses entirely on the decolorization of textile dyes using a bacterial strain (Bacillus sp.) and does not involve any experimental study related to mycoremediation or fungal species. There is no mention of fungi or their enzymes in the context of bioremediation.,1.0,No,The paper focuses on the decolorization of dyes using Bacillus sp. and does not mention the use of fungi for dye remediation.,25665.0,3618.0,7621.0,Experimental,"The paper presents new experiments evaluating the decolorization potential of a newly isolated Bacillus sp. DM1 on textile dyes, including detailed results on various conditions affecting the decolorization process.",ba4aa65f2bd1a551afb6dfbfacd89c52,0.0
Use+of+computerized+data+listings+and+activity+profiles+of+genetic+and+related+effects+in+the+review+of+195+compounds_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:53:51.140259,"The paper primarily discusses activity profiles for genetic and related effects, focusing on in vitro and in vivo testing methods rather than mycoremediation. There is no mention of fungi or their application in remediation processes.",1.0,"The paper does not discuss mycoremediation or any experimental studies involving fungal species for bioremediation. It focuses on genetic activity profiles and related testing methodologies, with no mention of fungi, their degradation abilities, or associated enzymes.",1.0,No,The paper does not mention the use of fungi for dye remediation; it primarily discusses genetic activity profiles and related testing methods.,23869.0,5051.0,9065.0,No,The paper does not present new experiments on fungi-based remediation but rather describes methodologies and results related to genetic activity profiles and bioassays without specific new experimental data on fungi.,1a7cd55e94e575bdcf70a3aa6f145638,1.0
Effects+of+tween+20%C2%AE+and+tween+80%C2%AE+on+the+stability+of+albutropin+during+agitation_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:55:27.573843,"The paper primarily discusses the effects of Polysorbate 80 on the aggregation and stability of insulin, focusing on protein formulations and drug delivery, rather than mycoremediation, which involves the use of fungi to remediate contaminated environments.",1.0,"The paper discusses the effect of Polysorbate 80 on the morphology, structure, and stability of human insulin amyloid-like spherulites, which is not related to mycoremediation or the study of fungal species for bioremediation processes.",1.0,No,"The paper discusses the effects of Polysorbate 80 on the morphology, structure, and stability of human insulin amyloid-like spherulites, but does not mention or utilize fungi for dye remediation.",118055.0,18297.0,35266.0,Experimental,"The paper contains new experiments focused on the effects of polysorbate 80 on the aggregation and stability of human insulin amyloid-like spherulites, including detailed methodologies and results from various spectroscopic and imaging techniques.",3ba8b44beb179dae2c460f66a1ddc6d4,2.0
Ammonium+uptake+by+microalgae+in+mixed+cultures_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:53:22.397009,"The paper discusses the incorporation of microalgae in recirculating aquaculture systems (RAS) to absorb inorganic nitrogen and phosphorus, which relates to nutrient removal and water purification. However, it primarily focuses on the growth and uptake of nitrogen by microalgae rather than explicitly on mycoremediation, which specifically involves the use of fungi for environmental remediation.",5.0,"The paper focuses on the use of microalgae, specifically Stigeoclonium nanum, for nitrogen uptake in aquaculture systems, rather than on experimental studies involving fungi or mycoremediation. There is no mention of fungal species or their role in bioremediation, enzymes related to fungal degradation, or direct experiments with fungi.",1.0,No,The paper focuses on the use of the filamentous microalga Stigeoclonium nanum for nitrogen removal in aquaculture systems and does not mention the use of fungi for dye remediation.,40410.0,6022.0,11207.0,Experimental,"The paper presents new experiments involving the growth and nitrogen uptake of the filamentous microalga Stigeoclonium nanum immobilized in alginate beads, comparing its effectiveness in removing ammonium and nitrate in a recirculating aquaculture system, thus contributing new data and insights to the field of fungi-based remediation.",10cfdb6cea85214c181291c77661119e,2.0
Reactive+dye+adsorption+onto+a+novel+mesoporous+carbon_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:53:50.518520,The paper focuses on the adsorption of Acid Red 88 dye using surfactant-modified bentonite and does not discuss or involve mycoremediation techniques or fungi in any capacity.,1.0,The paper focuses on the adsorption of Acid Red 88 dye using surfactant-modified bentonite and does not involve any experiments or discussions related to mycoremediation or the use of fungi in bioremediation processes.,1.0,No,The paper focuses on the use of HDTMA-bentonite for dye adsorption and does not mention the use of fungi in the dye remediation process.,43977.0,6603.0,12691.0,Experimental,"The paper presents new experiments on the adsorption of Acid Red 88 dye using hexadecyltrimethylammonium (HDTMA) modified bentonite, including synthesis, various adsorption experiments, and analysis of kinetic, equilibrium, and thermodynamic parameters.",0ebcabd2943fb54d6839fbb8f2e961a4,4.0
Removal+of+Reactive+Red+198+from+aqueous+solution+by+Potamogeton+crispus_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:54:35.155225,The paper primarily focuses on the adsorption removal of a specific dye from wastewater using activated carbon derived from pistachio hulls. It does not discuss mycoremediation or the use of fungi in the remediation process.,1.0,"The paper primarily focuses on the adsorption of reactive red 198 dye using activated carbon derived from pistachio hull waste. While it discusses dye removal methods, it does not directly involve experimental studies on mycoremediation, fungal species, or the enzymatic processes associated with fungal degradation. Therefore, it is only marginally relevant to the topic of mycoremediation.",2.0,No,"The paper focuses on the use of activated carbon derived from pistachio hull waste for dye remediation, without any mention or use of fungi.",36884.0,5496.0,9583.0,Experimental,"The paper presents new experiments conducted on the adsorption of reactive red 198 dye using activated carbon from pistachio hull waste, including variations in parameters such as initial dye concentration, contact time, adsorbent dosage, and pH, which were investigated for their effects on dye removal efficiency.",6f97b4b0a0f5e881d5b6a7fbd21bc810,0.0
Distribution+of+microbes+producing+antimicrobial+%CE%B5-poly-L-lysine+polymers+in+soil+microflora_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:52:21.367693,"The paper primarily discusses the distribution and synthesis of epsilon-polylysine (ε-PL) and its synthetases in specific bacteria, focusing on food preservation and antimicrobial properties, without any mention or relevance to mycoremediation, which involves the use of fungi for environmental remediation.",1.0,"The paper focuses on the distribution and analysis of epsilon-polylysine synthetases in Coryneform bacteria, specifically isolated from cheese and human skin, rather than on direct experimental studies involving fungal species for bioremediation or the examination of fungal degradation capabilities.",1.0,No,"The paper discusses epsilon-polylysine production in bacteria and its antimicrobial activity against various organisms, including fungi, but does not specifically focus on using fungi for dye remediation.",26207.0,4111.0,7874.0,Experimental,"The paper describes new experiments conducted to confirm the presence of ε-PL synthetase in Corynebacterium variabile and investigates its production in a heterologous system, indicating the study involves original experimental work rather than summarizing previous findings.",253bc77e4162b88fc43e44665ed1c59c,1.0
A+kinetic+model+for+the+decolorization+of+C.I.+Acid+Yellow+23+by+Fenton+process_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:57:21.046214,"The paper primarily discusses the degradation of methylene blue using a Fenton-like system with calcium peroxide, focusing on chemical oxidation processes rather than mycoremediation, which involves the use of fungi for pollutant degradation.",3.0,"The paper focuses on the degradation of methylene blue using a Fenton-like system with calcium peroxide. However, it does not directly involve fungal species or mycoremediation techniques, nor does it examine the role of enzymes typically associated with fungal degradation processes. While it discusses chemical oxidation and methods for dye removal, the relevance to mycoremediation is minimal.",3.0,No,The paper does not mention the use of fungi for dye remediation; it focuses on the use of calcium peroxide in a Fenton-like system for the degradation of methylene blue dye.,40031.0,6027.0,11882.0,Experimental,"The paper presents new experiments on the degradation of methylene blue using a Fenton-like system with calcium peroxide, including the effects of pH, dosage, and temperature, and it applies various kinetic models to analyze the degradation process.",2e240feb79e530788610c85b141f9237,2.0
Textile+dye+degradation+by+white+rot+fungi_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:57:29.836275,"The paper focuses primarily on the biodegradation of textile dyes by fungi, specifically detailing experiments with several fungal strains and their effectiveness in decolorizing different dyes, which is a key aspect of mycoremediation. It discusses the use of fungi as bioremediation agents for environmental decontamination, aligning perfectly with the principles of mycoremediation.",10.0,"The paper focuses on the experimental study of mycoremediation, specifically examining the ability of fungal species (Aspergillus niger, Fusarium oxysporum, and Trichoderma lignorum) to degrade and decolorize various textile dyes (Congo red, Crystal violet, and Methylene blue). It includes detailed experimental results, methodologies, and the investigation of the role of laccase enzyme in the biodegradation process, aligning perfectly with the criteria for high relevance to mycoremediation.",10.0,Yes,"The paper discusses the biodegradation of textile dyes using soil fungal isolates A. niger, F. oxysporum, and T. lignorum, highlighting their abilities to decolorize various dyes including Congo red, Crystal violet, and Methylene blue.",42070.0,6075.0,10821.0,Experimental,"The paper presents new experiments on the biodegradation of textile dyes by fungi isolated from North Indian field soil, detailing the methodology, results, and conclusions drawn from the experiments conducted.",48ef43c4983ecc8561ababe7d87eeaea,5.0
Evaluation+of+mucus%2C+Navicula%2C+and+mixed+diatoms+as+larval+settlement+inducers_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:55:47.204291,"The paper primarily discusses the induction of larval settlement by marine microbes and biofilms, but does not focus on mycoremediation, which specifically involves the use of fungi for environmental remediation.",1.0,"The paper focuses on the induction of larval settlement by marine microbes, specifically reviewing how biofilms composed of various microorganisms affect this process. It does not contain direct experimental studies or detailed investigations of fungal species or the role of specific enzymes related to mycoremediation.",1.0,No,"The paper primarily discusses the role of marine bacteria, diatoms, and other microorganisms in the induction of larval settlement, but does not specifically mention the use of fungi for dye remediation or any related processes.",94654.0,13599.0,25575.0,Summary,"The paper is a review that summarizes existing research on the induction of larval settlement by marine microbes, rather than presenting new experimental data.",d5ecb768cb0099f39bc7ac5a223cacc7,0.0
Effective+adsorption+of+ciprofloxacin+antibiotic+using+powdered+activated+carbon+magnetized+by+iron%28III%29+oxide+magnetic+nanoparticles_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:56:23.858857,The paper primarily focuses on the adsorption processes for ciprofloxacin removal using modified bamboo biochar and does not address mycoremediation techniques or fungi in any capacity.,2.0,"The paper focuses on the adsorption of ciprofloxacin using chemically modified bamboo biochar, without involving any fungal species or mycoremediation processes. It primarily discusses the optimization of adsorption parameters and does not relate to the experimental study of mycoremediation.",1.0,No,"The paper discusses the use of chemically modified bamboo biochar for the removal of ciprofloxacin from aqueous solutions, but it does not mention the use of fungi for dye remediation or any other purpose.",108368.0,16546.0,30544.0,Experimental,"The paper presents new experiments on the removal of ciprofloxacin from aqueous solutions using chemically modified bamboo biochar, including detailed methodologies, optimization of various parameters, and analysis of adsorption kinetics and isotherms.",4d4348a40e730211756faf9555a82918,0.0
Biodecolorization+and+biodegradation+of+azo+dye+reactive+orange-16+by+marine+Nocardiopsis+sp._.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:50:02.418410,"The text appears to be corrupted or nonsensical, containing many non-standard characters and formatting issues that make it impossible to ascertain any relevance to mycoremediation.",1.0,"The text appears to be heavily corrupted or encoded, making it difficult to extract any meaningful content related to mycoremediation. There are no identifiable references to fungal species, bioremediation, or experiments involving enzyme activities in the text.",1.0,No,The paper does not mention the use of fungi for dye remediation.,61608.0,5582.0,31799.0,No,"The text provided appears to be corrupted or nonsensical, making it impossible to determine if it contains new experiments on fungi based remediation or if it summarizes the results of other papers.",ef6a36c0b428e6c1783a9a1cfed43aef,0.0
SwrAA+activates+poly-gamma-glutamate+synthesis+in+addition+to+swarming+in+Bacillus+subtilis_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:57:11.440501,"The paper focuses on the regulation of flagellar gene expression in Bacillus subtilis, specifically involving the transcription factors SwrA and DegU, and does not address mycoremediation or related fungal applications.",1.0,"The paper does not focus on experimental studies related to mycoremediation, fungal species, or bioremediation processes. Instead, it discusses transcriptional regulation in Bacillus subtilis involving flagellar gene expression and the interactions between specific proteins (SwrA and DegU). There is no mention of fungal species, degradation of pollutants, or relevant enzymatic activity associated with mycoremediation.",1.0,No,The paper does not discuss or utilize fungi for dye remediation; it focuses on the transcriptional regulation of flagellar gene expression in Bacillus subtilis.,108639.0,16810.0,33502.0,Experimental,"The paper presents new experiments using ChIP-seq to analyze the interaction of SwrA with DNA and its effect on flagellar gene expression in Bacillus subtilis, including data on DNA binding affinity and transcriptional activation.",928ad5c5d067b4431632874f5636a76e,0.0
Biodegradation+of+azo+dye+4BS+by+a+microbial+consortium_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:55:07.274109,"The paper is primarily focused on the degradation of azo dyes using bacteria, discussing various bacterial species, their enzymatic pathways, and the potential for bioremediation, which directly relates to the field of mycoremediation. It extensively covers microbial processes relevant to environmental cleanup.",10.0,"The paper primarily focuses on the degradation of azo dyes by bacteria, discussing various bacterial enzymes such as laccase and azo reductase that are involved in the degradation process. While it emphasizes bacterial methods rather than mycoremediation specifically involving fungi, it does explore the role of enzymes that are also relevant in fungal degradation processes. Thus, it is closely related to the domain but does not focus directly on fungal species.",8.0,No,The paper focuses exclusively on the use of bacteria for azo dye degradation and does not mention the use of fungi for dye remediation.,41847.0,6130.0,11136.0,Summary,"The paper is a review article discussing existing knowledge about azo dye degrading bacteria, their mechanisms, and the use of GMOs, rather than presenting new experimental research on fungi-based remediation.",bdb0fb44c8ff9cbaa47a6016da9729e4,5.0
Removal+of+nitrogen+by+algal+turf+scrubber+technology+in+recirculating+aquaculture+system_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:52:03.492805,"The paper discusses nitrogen dynamics and ammonia removal in aquaculture systems using algal turf scrubbers, which is related to wastewater treatment rather than mycoremediation specifically. Mycoremediation focuses on the use of fungi for environmental cleanup, which is not addressed in this paper.",2.0,The paper discusses nitrogen dynamics and removal in aquaculture systems using algal turf scrubbers but does not involve experimental studies related to mycoremediation or the use of fungal species for bioremediation.,1.0,No,"The paper discusses the use of algal turf scrubbers for nitrogen removal in aquaculture systems, but it does not mention the use of fungi for dye remediation.",10966.0,1533.0,2733.0,Experimental,"The paper presents new experiments on the removal of total ammonia nitrogen (TAN) using an Algal Turf Scrubber in a recirculating aquaculture system, detailing specific methodologies, results, and conditions under which the experiments were conducted.",da3a394aa67ebba67638438de618216d,0.0
Thermodynamic+and+kinetic+stability+of+a+laccase+from+Bacillus+subtilis_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:52:12.626497,"The paper discusses the stability and properties of the CotA laccase enzyme from Bacillus subtilis, which is related to biocatalysis and potentially environmental applications. However, it primarily focuses on the biochemical and structural aspects of the enzyme rather than on mycoremediation techniques or applications.",4.0,"The paper discusses the stability and properties of CotA laccase from Bacillus subtilis, focusing on enzyme mutations and their effects on redox potential and stability. While it mentions laccase, which is relevant to mycoremediation, it does not directly involve experimental studies on fungal species for bioremediation or their ability to degrade pollutants. Therefore, its relevance to experimental mycoremediation is limited.",4.0,No,The paper discusses the stability and properties of CotA laccase from Bacillus subtilis but does not mention the use of fungi for dye remediation.,20693.0,3165.0,5570.0,Experimental,"The paper presents new experiments involving site-directed mutagenesis of the CotA laccase from Bacillus subtilis, analyzing the effects of these mutations on the enzyme's redox potential, kinetics, and stability.",d1252cfe071b1433ef9322f4228bf873,0.0
Total+Maximum+Daily+Loads_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:58:29.433978,"The paper primarily discusses the Total Maximum Daily Load (TMDL) for chlordane in Back River, focusing on water quality assessment and regulatory compliance rather than mycoremediation, which specifically involves the use of fungi to remediate environmental contaminants.",2.0,"The paper focuses on the Total Maximum Daily Load (TMDL) for chlordane in Back River, which includes monitoring and assessment of water quality and fish tissue contamination, but does not involve experimental studies or direct experiments with fungal species for mycoremediation or the enzymatic processes related to fungal degradation.",1.0,No,The paper does not mention the use of fungi for dye remediation; it primarily discusses chlordane contamination in Back River and the establishment of a Total Maximum Daily Load (TMDL) for this pesticide.,34209.0,5156.0,7980.0,Summary,"The paper summarizes the establishment of a Total Maximum Daily Load (TMDL) for chlordane in Back River, discussing the findings of previous studies and monitoring data rather than presenting new experimental research.",cb76f81ce006ac2245fd760c17ab0bff,0.0
Nitrogen+removal+capacity+of+microalgal+species_.txt,processed6,,2024-09-17 19:05:44.370984,2024-09-22 04:52:12.777503,"The paper primarily discusses the use of microalgae for nutrient removal from wastewater, which falls under the domain of mycoremediation. It covers various aspects of microalgae cultivation, processing, and their role in reducing pollutants, specifically nitrogen and phosphorus, highlighting their potential for environmental remediation.",10.0,"The paper focuses on the use of microalgae for nutrient removal from wastewater, which is different from mycoremediation involving fungi. There are no experiments or discussions related to fungal species or their enzymatic roles in bioremediation.",1.0,No,The paper discusses the use of microalgae for nutrient removal from wastewater and does not mention the use of fungi for dye remediation.,20963.0,3141.0,5596.0,Summary,"The paper provides a review of existing studies and strategies related to the cultivation of microalgae for nutrient removal from wastewater, rather than presenting new experimental data.",af42ae325c03c7f738f9ed96e1674673,1.0
