type of dye,type of fungi,concentration of dye,concentration of fungi,method of agitation,temperature,duration,pH,decolorization result,any additional information,source_file,type of bacteria,concentration of bacteria
Copper,Peniophora sp,27132 U,119.7-fold,not specified,not specified,not specified,not specified,not specified,not specified,Inhibition+of+laccase+activity+from+Trametes+versicolor+by+heavy+metals+and+organic+comp.._.txt,,
Reactive yellow (4GL),Aspergillus niger D2-1,100 ppm,2 discs (0.7 mm diameter),shaking,room temperature,7 days,9.0,98.62%,Complete disappearance of UV peaks at ~425 nm,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt,,
Reactive red (4BL),Aspergillus niger D2-1,100 ppm,2 discs (0.7 mm diameter),shaking,room temperature,7 days,9.0,92.42%,Complete disappearance of UV peaks at ~520 nm,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt,,
Reactive yellow (4GL),Aspergillus niger D2-1,50 ppm,1 disc (0.7 mm diameter),shaking,room temperature,6 days,9.0,67.68%,Data based on control at varying concentrations,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt,,
Reactive yellow (4GL),Aspergillus niger D2-1,200 ppm,1 disc (0.7 mm diameter),shaking,room temperature,6 days,9.0,4.08%,Data based on control at varying concentrations,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt,,
Reactive red (4BL),Aspergillus niger D2-1,50 ppm,1 disc (0.7 mm diameter),shaking,room temperature,6 days,9.0,54.84%,Data based on control at varying concentrations,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt,,
Reactive red (4BL),Aspergillus niger D2-1,200 ppm,1 disc (0.7 mm diameter),shaking,room temperature,6 days,9.0,4.95%,Data based on control at varying concentrations,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt,,
Textile wastewater,Aspergillus niger D2-1,Not specified,Not specified,Not specified,Not specified,7 days,9.1,59%,Analysis of physicochemical characteristics before and after treatment,Decolorization+of+different+textile+dyes+by+isolated+Aspergillus+niger_.txt,,
Novacron Red,Leptosphaerulina sp.,200 ppm,4 cylinders,unagitated,28 °C,20 days,as received,>90%,High decolorization observed with 650 U/L laccase production.,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt,,
Remazol Black,Leptosphaerulina sp.,200 ppm,4 cylinders,unagitated,28 °C,20 days,as received,>90%,High decolorization observed with 650 U/L laccase production.,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt,,
Turquoise Blue,Leptosphaerulina sp.,200 ppm,4 cylinders,unagitated,28 °C,20 days,as received,>90%,High decolorization observed with 512 U/L laccase production.,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt,,
Discharge effluent,Leptosphaerulina sp.,as received,8 cylinders,150 rpm,25 °C,21 days,5,95.5%,Best treatment with laccase production of 24.86 U/L.,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt,,
Dyeing effluent,Leptosphaerulina sp.,200 ppm,8 cylinders,150 rpm,25 °C,21 days,as received,90%,Significant laccase production of 40 U/L.,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt,,
Remazol Black,Leptosphaerulina sp.,50 ppm,lyophilized extract,150 rpm,25 °C,24 hours,3,70%,Used commercial laccase as a comparison.,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt,,
Turquoise Blue,Leptosphaerulina sp.,50 ppm,lyophilized extract,150 rpm,25 °C,24 hours,3,56%,Comparison with commercial enzyme for efficiency.,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt,,
Novacron Red,Leptosphaerulina sp.,50 ppm,lyophilized extract,150 rpm,25 °C,24 hours,3,20%,Low removal compared to other dyes.,Decolorization+of+three+acid+dyes+by+enzymes+from+fungal+strains_.txt,,
none,Lentinula edodes,none,none,none,25 °C,30 days,varied between 3.59 and 5.06,MnP activity max 20 UI.L-1 on day 25,The highest MnP activity was recorded at day 25.,Decolorization+of+synthetic+dyes+by+solid+state+culture+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt,,
none,Lentinula boryana,none,none,none,20 °C,30 days,varied between 4.10 and 5.06,MnP activity max 70 UI.L-1 on day 25,The highest MnP activity was recorded at day 25.,Decolorization+of+synthetic+dyes+by+solid+state+culture+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt,,
none,Lentinula edodes,none,none,none,25 °C,10 days,varied throughout cultivation,MnP activity max 110 UI.L-1,Best results were obtained on the 10th day.,Decolorization+of+synthetic+dyes+by+solid+state+culture+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt,,
none,Lentinula boryana,none,none,none,20 °C,25 days,varied throughout cultivation,MnP activity max 110 UI.L-1,Best results were observed between the 20th and 25th days.,Decolorization+of+synthetic+dyes+by+solid+state+culture+of+Lentinula+%28Lentinus%29+edodes+producing+manganese+peroxidase+as+the+main+lignolytic+enzyme_.txt,,
Ponceau 2R,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static,room temperature to 35 ºC,9 days,not specified,complete degradation,degradation observed in nitrogen-limiting conditions,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,,
Orange G,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static,room temperature to 35 ºC,8 days,not specified,complete degradation,degradation observed in nitrogen-limiting conditions,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,,
Direct Blue 71,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static,room temperature to 35 ºC,>21 days (incomplete),not specified,incomplete degradation,degradation observed in nitrogen-limiting conditions,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,,
Biebrich Scarlet,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static,room temperature to 35 ºC,>21 days (incomplete),not specified,incomplete degradation,degradation observed in nitrogen-limiting conditions,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,,
Ponceau 2R,Coriolopsis sp. strain arf5,not specified,not specified,static,"various (30, 35, 40, 45 ºC)",not specified,not specified,higher degradation rates at room temperature and 30°C,degradation rates significantly affected by incubation temperature (P < 0.001),Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,,
Orange G,Coriolopsis sp. strain arf5,not specified,not specified,static,"various (30, 35, 40, 45 ºC)",not specified,not specified,higher degradation rates at room temperature and 30°C,degradation rates significantly affected by incubation temperature (P < 0.001),Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,,
Direct Blue 71,Coriolopsis sp. strain arf5,not specified,not specified,static,"various (30, 35, 40, 45 ºC)",not specified,not specified,higher degradation rates at room temperature and 30°C,degradation rates significantly affected by incubation temperature (P < 0.001),Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,,
Biebrich Scarlet,Coriolopsis sp. strain arf5,not specified,not specified,static,"various (30, 35, 40, 45 ºC)",not specified,not specified,only slightly affected by temperature,degradation rates significantly affected by incubation temperature (P = 0.001),Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,,
Ponceau 2R,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static,not specified,48 hours,4.5,higher degradation rate,degradation still occurs across a wide range of pH,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,,
Orange G,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static,not specified,48 hours,not specified,no significant difference in degradation rate,degradation still occurs across a wide range of pH,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,,
Direct Blue 71,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static,not specified,48 hours,not specified,no significant difference in degradation rate,degradation still occurs across a wide range of pH,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,,
Biebrich Scarlet,Coriolopsis sp. strain arf5,0.2 g/L,not specified,static,not specified,48 hours,not specified,no significant difference in degradation rate,degradation still occurs across a wide range of pH,Biodegradation+of+azo+dyes+by+white+rot+fungi_.txt,,
m-[(4-dimethylamino)phenylazo]benzenesulfonic acid,Candida zeylanoides,0.2 mM,1.0 g dry cell/L,shaking,26°C,40-60 h,acidic,100%,Initial decolorization rates were 14–52 µmol.(g dry cell)−1.h−1.,Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes..._.txt,,
p-[(4-dimethylamino)phenylazo]benzenesulfonic acid,Candida zeylanoides,0.2 mM,1.0 g dry cell/L,shaking,26°C,40-60 h,acidic,100%,Initial decolorization rates were 14–52 µmol.(g dry cell)−1.h−1.,Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes..._.txt,,
m-[(2-hydroxy-1-naphthyl)azo]benzenesulfonic acid,Issatchenkia occidentalis,0.2 mM,1.0 g dry cell/L,shaking,26°C,15 h,acidic,>80%,Essentially under microaerophilic conditions.,Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes..._.txt,,
p-[(2-hydroxy-1-naphthyl)azo]benzenesulfonic acid,Issatchenkia occidentalis,0.2 mM,1.0 g dry cell/L,shaking,26°C,15 h,acidic,0% under anoxic conditions.,Kinetic assays demonstrated the optimum pH was in the acidic range.,Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes..._.txt,,
C.I. Reactive Black 5,Bacterial consortium,0.2 mM,not specified,not specified,55°C,24 h,9,"91.5±1.3% for colour removal, 89.0±0.4% for COD removal.","The system tolerated 3% of Na2SO4, Na2CO3 or NaCl.",Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes..._.txt,,
C.I. Reactive Black 5,Bacterial consortium,0.2 mM,not specified,not specified,55°C,24 h,9,High sludge production.,Total suspended solids content varied widely during operation.,Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes..._.txt,,
C.I. Reactive Black 5,Bacterial consortium,0.2 mM,not specified,not specified,20-55°C,not specified,9,No significant decrease in performance.,The system was effective in decolorization under alkaline conditions.,Comparison+of+two+bacterial+azoreductases+acquired+during+adaptation+to+growth+on+azo+dyes..._.txt,,
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL inoculum,shaking (120 rpm),30°C,3 days,4.5,100%,Complete decolorization achieved using maltose and ammonium sulfate.,Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,,
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL inoculum,shaking (120 rpm),30°C,6 days,4.0,87.70%,Maximum dye decolorization efficiency at pH 4.,Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,,
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL inoculum,shaking (120 rpm),30°C,4 days,4.5,89.2%,Dye decolorization efficiency decreased at higher temperatures.,Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,,
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL inoculum,shaking (120 rpm),25°C,10 days,4.0,Maximum decolorization not specified,Initial time course study showed increasing color removal in first 7 days.,Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,,
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),1 mL inoculum,shaking (120 rpm),30°C,10 days,4.5,Not specified,Inoculum size optimization showed varying decolorization.,Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,,
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),7 mL inoculum,shaking (120 rpm),30°C,10 days,4.5,Not specified,High inoculum density reduced decolorization efficiency.,Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,,
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL inoculum,shaking (120 rpm),30°C,3 days,4.0,100%,"Enzyme activities measured: LiP (944 U/mL), MnP, Lac.",Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,,
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL inoculum,shaking (120 rpm),30°C,10 days,3.0,Not specified,pH optimization showed varying decolorization efficiencies.,Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,,
Solar brilliant red 80,Schizophyllum commune IBL-06,0.01% (w/v),5 mL inoculum,shaking (120 rpm),35°C,10 days,4.0,Not specified,Temperature optimization indicated maximum decolorization at 30°C.,Capacity+of+Irpexlacteus+and+Pleurotusostreatus+for+decolorization+of+chemically+different+dyes_.txt,,
RB-5,Myceliophthora thermophila,0.02% (w/v),20 U,stirring (90 rpm),30 °C,24 h,4.5,60%,HBT used as redox mediator,Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt,,
RBBR,Myceliophthora thermophila,0.02% (w/v),20 U,stirring (90 rpm),30 °C,24 h,4.5,31%,HBT used as redox mediator,Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt,,
Acid Blue 25,Myceliophthora thermophila,0.02% (w/v),20 U,stirring (90 rpm),30 °C,6 h,4.5,Directly decolorized,,Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt,,
Acid Green 27,Myceliophthora thermophila,0.02% (w/v),20 U,stirring (90 rpm),30 °C,6 h,4.5,Directly decolorized,,Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt,,
Methyl Green,Myceliophthora thermophila,0.02% (w/v),20 U,stirring (90 rpm),30 °C,6 h,4.5,75%,,Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt,,
Methyl Orange,Myceliophthora thermophila,0.02% (w/v),20 U,stirring (90 rpm),30 °C,6 h,4.5,61%,82% with HBT,Decolorization+of+synthetic+dyes+by+laccase+immobilized+on+epoxy-activated+carriers_.txt,,
none,Trametes versicolor,none,0.102 ± 0.002 g,rotatory shaker,28ºC,10 days,4.5,none,Growth curves for Trametes versicolor in TaK and TDM media at 28 and 35ºC.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,none,0.102 ± 0.002 g,rotatory shaker,35ºC,10 days,4.5,none,Growth curves for Trametes versicolor in TaK and TDM media at 28 and 35ºC.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,0.04 g/L,none,none,28ºC,none,none,none,Maximum laccase activity (U/L) with solid lignin.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,0.20 g/L,none,none,28ºC,none,none,none,Maximum laccase activity (U/L) with solid lignin.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,0.40 g/L,none,none,28ºC,none,none,1240 U/L,Best result for laccase induction.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,2.0 g/L,none,none,28ºC,none,none,912 U/L,Maximum laccase activity with lignin.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,0.034 g/L,none,none,28ºC,none,none,192 U/L,Maximum laccase activity with ligninosulphonates.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,0.086 g/L,none,none,28ºC,none,none,224 U/L,Maximum laccase activity with ligninosulphonates.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,0.17 g/L,none,none,28ºC,none,none,270 U/L,Maximum laccase activity with ligninosulphonates.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,0.34 g/L,none,none,28ºC,none,none,148 U/L,Maximum laccase activity with ligninosulphonates.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,10 µM,none,none,28ºC,none,none,573 U/L,Maximum laccase activity with xylidine.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,15 µM,none,none,28ºC,none,none,912 U/L,Maximum laccase activity with xylidine.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,30 µM,none,none,28ºC,none,none,1583 U/L,Maximum laccase activity with xylidine.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,50 µM,none,none,28ºC,none,none,1040 U/L,Maximum laccase activity with xylidine.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,0.050 mM,none,none,28ºC,none,none,47 U/L,Maximum laccase activity with veratryl alcohol.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,1 mM,none,none,28ºC,none,none,79 U/L,Maximum laccase activity with veratryl alcohol.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,2 mM,none,none,28ºC,none,none,345 U/L,Maximum laccase activity with veratryl alcohol.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
none,Trametes versicolor,4 mM,none,none,28ºC,none,none,33 U/L,Maximum laccase activity with veratryl alcohol.,Effect+of+Glucose+Addition+on+Laccase+Production_.txt,,
Cibacron Red C-2G,Coriolus versicolor,500 mg/L,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Coriolus versicolor grew well in SSF with thick mycelial growth.,Strategy+for+dye+adsorption+and+microbial+treatment_.txt,,
Remazol Navy Blue GG,Coriolus versicolor,500 mg/L,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Coriolus versicolor grew well in SSF without inhibition by dye chemicals.,Strategy+for+dye+adsorption+and+microbial+treatment_.txt,,
Remazol Red RB,Coriolus versicolor,500 mg/L,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Coriolus versicolor produced fungal biomass with protein content during SSF.,Strategy+for+dye+adsorption+and+microbial+treatment_.txt,,
Cibacron Red C-2G,Bjerkandera adusta,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,53%,SSF performed at a moisture content of 80-85%.,Strategy+for+dye+adsorption+and+microbial+treatment_.txt,,
Cibacron Orange,Bjerkandera adusta,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Bjerkandera adusta reported to decolorize synthetic dye.,Strategy+for+dye+adsorption+and+microbial+treatment_.txt,,
Remazol Navy Blue,Bjerkandera adusta,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Bjerkandera adusta showed ability to grow on dye-adsorbed substrates.,Strategy+for+dye+adsorption+and+microbial+treatment_.txt,,
Remazol Red,Phanerochaete chrysosporium,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Produced mycelial growth during SSF.,Strategy+for+dye+adsorption+and+microbial+treatment_.txt,,
Cibacron Yellow C-2R,Phanerochaete chrysosporium,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Effectiveness in SSF was studied.,Strategy+for+dye+adsorption+and+microbial+treatment_.txt,,
Cibacron Blue C-R,Phanerochaete chrysosporium,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,Not specified,Produced enzymes responsible for dye degradation.,Strategy+for+dye+adsorption+and+microbial+treatment_.txt,,
Cibacron Red C-2G,Phanerochaete chrysosporium,Not specified,Not specified,Solid-state fermentation,Not specified,Not specified,Not specified,53.6% in N-rich medium,Enzyme production was stimulated by nitrogen supplementation.,Strategy+for+dye+adsorption+and+microbial+treatment_.txt,,
Reactive Red 3,Aspergillus niger,not specified,not specified,static,not specified,not specified,not specified,successful,Microbial bioremediation of azo dye.,Evolution+of+the+microbial+community+in+a+full-scale+printing+and+dyeing+wastewater+treatment+system_.txt,,
Congo Red,Aspergillus niger,not specified,not specified,not specified,not specified,not specified,not specified,successful,Detoxification pathways explored.,Evolution+of+the+microbial+community+in+a+full-scale+printing+and+dyeing+wastewater+treatment+system_.txt,,
Acid Red 88,Achaetomium strumarium,not specified,not specified,not specified,not specified,not specified,not specified,enhanced,Enhanced biodegradation noted.,Evolution+of+the+microbial+community+in+a+full-scale+printing+and+dyeing+wastewater+treatment+system_.txt,,
Crystal Violet,Myrothecium roridum,not specified,not specified,not specified,not specified,not specified,not specified,successful,Mechanistic study conducted.,Evolution+of+the+microbial+community+in+a+full-scale+printing+and+dyeing+wastewater+treatment+system_.txt,,
Methylene Blue,Pleurotus ostreatus,not specified,not specified,not specified,not specified,not specified,not specified,successful,Utilized for wastewater treatment.,Evolution+of+the+microbial+community+in+a+full-scale+printing+and+dyeing+wastewater+treatment+system_.txt,,
Azo dyes,Aspergillus spp.,not specified,not specified,not specified,not specified,not specified,not specified,successful,Potential for large-scale application.,Evolution+of+the+microbial+community+in+a+full-scale+printing+and+dyeing+wastewater+treatment+system_.txt,,
Acid Black 194,Aspergillus flavus Link,0.05 g/L,1 disc (1cm in diameter),shaking,24 C,8 days,7,85%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus tamarii Kita,0.05 g/L,1 disc (1cm in diameter),shaking,24 C,8 days,7,91.15%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus parasiticus Speare,0.05 g/L,1 disc (1cm in diameter),shaking,24 C,8 days,7,85%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus flavus Link,0.05 g/L,2 discs (1cm in diameter),shaking,24 C,8 days,7,87.4%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus tamarii Kita,0.05 g/L,10 discs (1cm in diameter),shaking,24 C,8 days,7,85%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus parasiticus Speare,0.05 g/L,1 disc (1cm in diameter),shaking,24 C,8 days,7,95.2%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus flavus Link,25 mg/L,1 disc (1cm in diameter),shaking,24 C,8 days,7,87.3%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus tamarii Kita,50 mg/L,1 disc (1cm in diameter),shaking,24 C,8 days,7,92.5%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus parasiticus Speare,50 mg/L,1 disc (1cm in diameter),shaking,24 C,8 days,7,96.4%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus flavus Link,150 mg/L,1 disc (1cm in diameter),shaking,24 C,8 days,7,21.9%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus tamarii Kita,150 mg/L,1 disc (1cm in diameter),shaking,24 C,8 days,7,42.7%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus parasiticus Speare,150 mg/L,1 disc (1cm in diameter),shaking,24 C,8 days,7,62.6%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus flavus Link,0.05 g/L,1 disc (1cm in diameter),shaking,20 C,8 days,7,<50%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus flavus Link,0.05 g/L,1 disc (1cm in diameter),shaking,28 C,8 days,7,85.9%,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus tamarii Kita,0.05 g/L,1 disc (1cm in diameter),shaking,28 C,8 days,7,no significant difference,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Acid Black 194,Aspergillus parasiticus Speare,0.05 g/L,1 disc (1cm in diameter),shaking,28 C,8 days,7,no significant difference,,Decolorization+of+malachite+green+by+two+fungal+microorganisms_2008.txt,,
Reactive blue 19,Trametes versicolor,varied,not specified,not specified,4°C,36 hours,5.0,high decolorization rate (>12 µM dye/U-h),No dye sorption to the enzyme bed at high rates,Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.txt,,
Dispersed blue 3,Trametes versicolor,varied,not specified,not specified,4°C,36 hours,5.0,high decolorization rate (>12 µM dye/U-h),No dye sorption to the enzyme bed at high rates,Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.txt,,
Acid blue 74,Trametes versicolor,varied,not specified,not specified,4°C,36 hours,5.0,moderate decolorization rate (8 to >0.06 µM/U-h),Transient color observed,Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.txt,,
Acid red 27,Trametes versicolor,varied,not specified,not specified,4°C,36 hours,5.0,lower decolorization efficiency,Solutions became less toxic after treatment,Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.txt,,
Reactive black 5,Trametes versicolor,varied,not specified,not specified,4°C,36 hours,5.0,permanent adsorption occurred,Laccase likely inactivated,Dye+decolorization+and+detoxification+by+laccase+immobilized+on+porous+glass+beads_.txt,,
indigo carmine,Coriolus antarcticus,100 µM,not specified,not specified,30 ºC,5 h,5.2,93%,Highest decolorization observed,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt,,
malachite green,Coriolus antarcticus,100 µM,not specified,not specified,30 ºC,5 h,5.2,86%,Highest decolorization observed,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt,,
azure B,Coriolus antarcticus,100 µM,not specified,not specified,30 ºC,5 h,5.2,82%,Highest decolorization observed,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt,,
Remazol Brilliant Blue R (RBBR),Coriolus antarcticus,100 µM,not specified,not specified,30 ºC,5 h,5.2,82%,Highest decolorization observed,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt,,
crystal violet,Coriolus antarcticus,100 µM,not specified,not specified,30 ºC,5 h,5.2,77%,Highest decolorization observed,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt,,
xylidine,Coriolus antarcticus,100 µM,not specified,not specified,30 ºC,5 h,5.2,58%,Highest decolorization observed,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt,,
indigo carmine,Trametes trogii,100 µM,not specified,not specified,30 ºC,5 h,5.2,26.4%,Decolorization values observed for comparison,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt,,
malachite green,Trametes trogii,100 µM,not specified,not specified,30 ºC,5 h,5.2,3.6%,Decolorization values observed for comparison,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt,,
xylidine,Stereum hirsutum,100 µM,not specified,not specified,30 ºC,5 h,5.2,7.3%,Decolorization values observed for comparison,Evaluation+of+Argentinean+white+rot+fungi+for+their+ability+to+produce+lignin-modifying+enzymes+and+decolourise+industrial+dyes_.txt,,
Remazol Brilliant Blue R,Ceriporiopsis subvermispora,50 mg L−1,not specified,shaking,30 °C,8 h,4.5,80%,Decolorization was faster than that of CuP.,Induction+of+ligninolytic+enzyme+production+by+Dichomitus+squalens+on+various+types+of+immobilization+support_.txt,,
